Film;U.S. release date;Box office gross Domestic (U.S. and Canada );Box office gross Other territories;Box office gross Worldwide;Budget;MCU;Distributor;Minutes;Franchise;Character Family;Rotten Tomatoes Critic Score;Male/Female-led;Year;Inflation Adjusted Worldwide Gross;Inflation Adjusted Budget;Break Even
Iron Man 2;07/05/2010;312433331;311500000;623933331;200000000;VRAI;Paramount Pictures;124;Marvel;Iron Man;72;Male;2010;623933331;200000000;Success
Jonah Hex;18/06/2010;10547117;356195;10903312;47000000;FAUX;Warner Bros.;81;DC;Jonah Hex;12;Male;2010;15235795;65675672;Flop
Thor;06/05/2011;181030624;268295994;449326618;150000000;VRAI;Paramount Pictures;115;Marvel;Thor;77;Male;2011;449326618;150000000;Success
X-Men: First Class;03/06/2011;146408305;206208385;352616690;160000000;FAUX;Twentieth Century Fox;131;Marvel;X-Men;86;Male;2011;352616690;160000000;Flop
Green Lantern;17/06/2011;116601172;120600000;237201172;200000000;FAUX;Warner Bros.;114;DC;Green Lantern;25;Male;2011;321311879;270919301;Flop
Captain America: The First Avengers;22/07/2011;176654505;193915269;370569774;140000000;VRAI;Paramount Pictures;124;Marvel;Captain America;80;Male;2011;370569774;140000000;Success
Ghost Rider: Spirit of Vengeance;17/02/2012;51774002;80789928;132563930;57000000;FAUX;Sony Pictures Entertainment ;96;Marvel;Ghost Rider;19;Male;2012;132563930;57000000;Flop
The Avengers;04/05/2012;623357910;895455078;1518812988;220000000;VRAI;Walt Disney Studios Motion Pictures;143;Marvel;Avengers;91;Male;2012;1518812988;220000000;Success
The Amazing Spider-Man;03/07/2012;262030663;495900000;757930663;230000000;FAUX;Sony Pictures Entertainment ;136;Marvel;Spider-Man;71;Male;2012;757930663;230000000;Success
The Dark Knight Rises;20/07/2012;448149584;636918053;1085067637;250000000;FAUX;Warner Bros.;164;DC;Batman;87;Male;2012;1440028167;331783042;Success
Iron Man 3;03/05/2013;409013994;806563211;1215577205;200000000;VRAI;Walt Disney Studios Motion Pictures;130;Marvel;Iron Man;79;Male;2013;1215577205;200000000;Success
Man of Steel;14/06/2013;291045518;379100000;670145518;225000000;FAUX;Warner Bros.;143;DC;Superman;56;Male;2013;876532581;294294038;Success
The Wolverine;26/07/2013;132556852;282271394;414828246;120000000;FAUX;Twentieth Century Fox;126;Marvel;X-Men;71;Male;2013;414828246;120000000;Success
Thor: The Dark World;08/11/2013;206362140;438421000;644783140;170000000;VRAI;Walt Disney Studios Motion Pictures;112;Marvel;Thor;67;Male;2013;644783140;170000000;Success
Captain America: The Winter Soldier;04/04/2014;259766572;454654931;714421503;170000000;VRAI;Walt Disney Studios Motion Pictures;136;Marvel;Captain America;90;Male;2014;714421503;170000000;Success
The Amazing Spider-Man 2;02/05/2014;202853933;506128390;708982323;200000000;FAUX;Sony Pictures Entertainment ;142;Marvel;Spider-Man;51;Male;2014;708982323;200000000;Success
X-Men: Days of Future Past;23/05/2014;233921534;512124166;746045700;200000000;FAUX;Twentieth Century Fox;132;Marvel;X-Men;90;Male;2014;746045700;200000000;Success
Guardians of the Galaxy;01/08/2014;333718600;439631547;773350147;170000000;VRAI;Walt Disney Studios Motion Pictures;121;Marvel;Guardians of the Galaxy;92;Male;2014;773350147;170000000;Success
Avengers: Age of Ultron;01/05/2015;459005868;946012180;1405018048;250000000;VRAI;Walt Disney Studios Motion Pictures;141;Marvel;Avengers;76;Male;2015;1405018048;250000000;Success
Ant-Man;17/07/2015;180202163;339109802;519311965;130000000;VRAI;Walt Disney Studios Motion Pictures;117;Marvel;Ant-Man;83;Male;2015;519311965;130000000;Success
Fantastic Four;07/08/2015;56117548;111765333;167882881;120000000;FAUX;Twentieth Century Fox;100;Marvel;Fantastic Four;9;Male;2015;167882881;120000000;Flop
Deadpool;12/02/2016;363070709;419541446;782612155;58000000;FAUX;Twentieth Century Fox;108;Marvel;X-Men;85;Male;2016;782612155;58000000;Success
Batman v Superman: Dawn of Justice;23/03/2016;330360194;544002609;874362803;250000000;FAUX;Warner Bros.;151;DC;Justice League;29;Male;2016;1110049834;317388225;Success
Captain America: Civil War;06/05/2016;408084349;746962067;1155046416;250000000;VRAI;Walt Disney Studios Motion Pictures;147;Marvel;Captain America;91;Male;2016;1155046416;250000000;Success
X-Men: Apocalypse;27/05/2016;155442489;388491616;543934105;178000000;FAUX;Twentieth Century Fox;144;Marvel;X-Men;47;Male;2016;543934105;178000000;Success
Suicide Squad;05/08/2016;325100054;424100000;749200054;175000000;FAUX;Warner Bros.;123;DC;Suicide Squad;26;Male;2016;951149103;222171758;Success
Doctor Strange;04/11/2016;232641920;445154156;677796076;165000000;VRAI;Walt Disney Studios Motion Pictures;115;Marvel;Doctor Strange;89;Male;2016;677796076;165000000;Success
The Lego Batman Movie;10/02/2017;175936671;136400000;312336671;80000000;FAUX;Warner Bros.;104;DC;Batman;89;Male;2017;388256683;99445686;Success
Logan;03/03/2017;226277068;392902882;619179950;97000000;FAUX;Twentieth Century Fox;137;Marvel;X-Men;94;Male;2017;619179950;97000000;Success
Guardians of the Galaxy Vol. 2;05/05/2017;389813101;473942950;863756051;200000000;VRAI;Walt Disney Studios Motion Pictures;136;Marvel;Guardians of the Galaxy;85;Male;2017;863756051;200000000;Success
Wonder Woman;02/06/2017;412845172;411125510;823970682;149000000;FAUX;Warner Bros.;141;DC;Wonder Woman;93;Female;2017;1024254126;185217591;Success
Spider-Man: Homecoming;07/07/2017;334201140;545965784;880166924;175000000;VRAI;Sony Pictures Entertainment ;133;Marvel;Spider-Man;92;Male;2017;880166924;175000000;Success
Thor: Ragnarok;03/11/2017;315058289;540243517;855301806;180000000;VRAI;Walt Disney Studios Motion Pictures;130;Marvel;Thor;93;Male;2017;855301806;180000000;Success
Justice League;17/11/2017;229024295;432300000;661324295;300000000;FAUX;Warner Bros.;120;DC;Justice League;39;Male;2017;822073106;372921324;Flop
Black Panther;16/02/2018;700426566;649499517;1349926083;200000000;VRAI;Walt Disney Studios Motion Pictures;134;Marvel;Black Panther;96;Male;2018;1349926083;200000000;Success
Avengers: Infinity War;27/04/2018;678815482;1373599557;2052415039;325000000;VRAI;Walt Disney Studios Motion Pictures;149;Marvel;Avengers;85;Male;2018;2052415039;325000000;Success
Deadpool 2;18/05/2018;318491426;416055185;734546611;110000000;FAUX;Twentieth Century Fox;119;Marvel;X-Men;84;Male;2018;734546611;110000000;Success
Ant-Man and the Wasp;06/07/2018;216648740;406025399;622674139;162000000;VRAI;Walt Disney Studios Motion Pictures;118;Marvel;Ant-Man;87;Co-starring;2018;622674139;162000000;Success
Teen Titans Go! To the Movies;27/07/2018;29790236;22600000;52390236;10000000;FAUX;Warner Bros.;84;DC;Teen Titans;91;Co-starring;2018;63572054;12134333;Success
Venom;05/10/2018;213515506;642569645;856085151;100000000;FAUX;Sony Pictures Entertainment ;112;Marvel;Spider-Man Allies and Villains;30;Male;2018;856085151;100000000;Success
